year,quarter,Value_padd1,Value_padd2,Value_padd3,Value_padd4,Value_padd5,total_us_refinery_net_input
2016,1,3291,10760,25058,1733,7036,47878
2016,2,3468,10624,25612,1736,7152,48592
2016,3,3267,11093,25821,1887,7486,49554
2016,4,3272,10965,25637,1820,6511,48205
2017,1,2843,11048,25067,1809,6891,47658
2017,2,3302,11530,27403,1876,7271,51382
2017,3,3324,11539,25274,1977,7644,49758
2017,4,3372,10964,26823,1803,7212,50174
2018,1,2956,11080,25937,1900,7329,49202
2018,2,3395,11929,27001,1809,7267,51401
2018,3,3210,11534,27564,1907,7755,51970
2018,4,2978,10991,27855,1828,7332,50984
2019,1,2702,10941,25969,1846,7107,48565
2019,2,3151,11190,26979,1905,7071,50296
2019,3,2552,12077,26810,2018,7417,50874
2019,4,2333,11403,26196,1781,7242,48955
2020,1,2093,10985,25626,1797,6824,47325
2020,2,1731,9327,21856,1504,5058,39476
2020,3,1670,10766,22142,1792,5688,42058
2020,4,1753,10362,22401,1631,5563,41710
2021,1,1866,10542,21473,1696,5705,41282
2021,2,2046,11253,25566,1622,6457,46944
